Scientific Name,Common Name,Species Type,IUCN Red List Category,Reason For Change,Year
Delonix brachycarpa,,Flowering Plants,LC,N,2014.3
Delonix decaryi,,Flowering Plants,VU,N,2014.1
Delonix floribunda,,Flowering Plants,VU,N,2014.1
Delonix regia,Flame Tree,Flowering Plants,LC,N,2014.1
Delonix tomentosa,,Flowering Plants,CR,N,2014.1
Delonix velutina,,Flowering Plants,EN,N,2014.1
Fimbristylis littoralis,Lesser Fimbristylis,Flowering Plants,LC,E,2014.2
Grewia limae,,Flowering Plants,EN,N,2014.3
Impatiens etindensis,,Flowering Plants,EN,N,2014.3
Impatiens grandisepala,,Flowering Plants,CR,N,2014.3
Isolepis cernua,Slender Club-rush,Flowering Plants,LC,E,2014.2
Itaya amicorum,,Flowering Plants,LC,N,2014.1
Limosella aquatica,Mudwort,Flowering Plants,LC,E,2014.2
Maerua andradae,,Flowering Plants,LC,N,2014.3
Mentha aquatica,Water Mint,Flowering Plants,LC,E,2014.2
Metrosideros bartlettii,Bartlett's Rata,Flowering Plants,CR,N,2014.2
Montia fontana,Blinks,Flowering Plants,LC,E,2014.2
Nepenthes adnata,,Flowering Plants,EN,N,2014.1
Nepenthes campanulata,Bell-Shaped Pitcher-Plant,Flowering Plants,VU,N,2014.1
Nepenthes deaniana,,Flowering Plants,NT,N,2014.1
Nepenthes klossii,,Flowering Plants,EN,G,2014.1
Nepenthes papuana,,Flowering Plants,LC,N,2014.1
Nepenthes sumatrana,,Flowering Plants,CR,G,2014.1
Nepenthes tenuis,,Flowering Plants,EN,N,2014.1
Nepenthes treubiana,,Flowering Plants,LC,N,2014.1
Nymphaea alba,European White Waterlily,Flowering Plants,LC,E,2014.2
Osmunda regalis,Royal Fern,Flowering Plants,LC,E,2014.2
Potamogeton pusillus,Lesser Pondweed,Flowering Plants,LC,E,2014.2
Ranunculus aquatilis,Common Water-crowfoot,Flowering Plants,LC,E,2014.2
Sphenoclea zeylanica,,Flowering Plants,LC,E,2014.2
Typha latifolia,Broadleaf Cattail,Flowering Plants,LC,E,2014.2
Utricularia gibba,Humped Bladderwort,Flowering Plants,LC,E,2014.2
Uvariopsis vanderystii,,Flowering Plants,VU,N,2014.3
Aonyx capensis,African Clawless Otter,Mammal,NT,N,2015
Ailurus fulgens,Red Panda,Mammal,EN,N,2015
Amorphochilus schnablii,Smoky Bat,Mammal,VU,N,2015
Aonyx congicus,Congo Clawless Otter,Mammal,NT,N,2015
Arctocephalus philippii,Juan Fernández Fur Seal,Mammal,LC,N,2015
Arctocephalus townsendi,Guadalupe Fur Seal,Mammal,LC,G,2015
Balantiopteryx infusca,Ecuadorian Sac-winged Bat,Mammal,VU,N,2015
Capra falconeri,Markhor,Mammal,NT,G,2015
Caracal aurata,African Golden Cat,Mammal,VU,G,2015
Crossarchus ansorgei,Angsorge's Cusimanse,Mammal,LC,N,2015
Dendrohyrax validus,Eastern Tree Hyrax,Mammal,NT,G,2015
Equus hemionus,Asiatic Wild Ass,Mammal,NT,N,2015
Eupleres goudotii,Eastern Falanouc,Mammal,EN,N,2015
Fossa fossana,Spotted Fanaloka,Mammal,VU,G,2015
Genetta bourloni,Bourlon's Genet,Mammal,VU,N,2015
Genetta piscivora,Aquatic Genet,Mammal,NT,N,2015
Hemigalus derbyanus,Banded Civet,Mammal,NT,N,2015
Herpestes fuscus,Brown Mongoose,Mammal,LC,N,2015
Herpestes semitorquatus,Collared Mongoose,Mammal,NT,N,2015
Leopardus geoffroyi,Geoffroy's Cat,Mammal,LC,N,2015
Lontra longicaudis,Neotropical Otter,Mammal,NT,N,2015
Lynx pardinus,Iberian Lynx,Mammal,EN,G,2015
Mazama nana,Brazilian Dwarf Brocket,Mammal,VU,N,2015
Melogale everetti,Bornean Ferret Badger,Mammal,EN,N,2015
Monachus monachus,Mediterranean Monk Seal,Mammal,EN,N,2015
Mungotictis decemlineata,Bokiboky,Mammal,EN,G,2015
Neamblysomus julianae,Juliana's Golden Mole,Mammal,EN,N,2015
Neomonachus schauinslandi,Hawaiian Monk Seal,Mammal,EN,N,2015
Pardofelis marmorata,Marbled Cat,Mammal,NT,N,2015
Phocarctos hookeri,New Zealand Sea Lion,Mammal,EN,G,2015
Phyllonycteris aphylla,Jamaican Flower Bat,Mammal,CR,N,2015
Platyrrhinus chocoensis,Choco Broad-nosed Bat,Mammal,VU,N,2015
Poiana leightoni,West African Oyan,Mammal,VU,N,2015
Acrocephalus sechellensis,Seychelles Warbler,Bird,NT,G,2015
Alca torda,Razorbill,Bird,NT,G,2015
Amytornis dorotheae,Carpentarian Grasswren,Bird,VU,G,2015
Anas chlorotis,Brown Teal,Bird,NT,G,2015
Anthus pratensis,Meadow Pipit,Bird,NT,G,2015
Aquila nipalensis,Steppe Eagle,Bird,En,G,2015
Aythya ferina,Common Pochard,Bird,VU,N,2015
Branta ruficollis,Red-breasted Goose,Bird,VU,N,2015
Buteo ventralis,Rufous-tailed hawk,Bird,VU,N,2015
Calidris canutus,Red Knot,Bird,NT,G,2015
Calidris ferruginea,Curlew Sandpiper,Bird,NT,G,2015
Calidris ruficollis,Red-necked Stint,Bird,NT,G,2015
Calidris tenuirostris,Great Knot,Bird,EN,G,2015
Calonectris leucomelas,Streaked Shearwater,Bird,NT,N,2015
Camarhynchus pallidus,Woodpecker Finch,Bird,VU,G,2015
Camarhynchus psittacula,Large Tree-finch,Bird,VU,G,2015
Casuarius bennetti,Dwarf Cassowary,Bird,LC,N,2015
Clytorhynchus nigrogularis,Black-throated Shrikebill,Bird,NT,N,2015
Coccycolius iris,Emerald Starling,Bird,LC,N,2015
Coracias garrulus,European Roller,Bird,LC,N,2015
Ducula cineracea,Timor Imperial-pigeon,Bird,NT,N,2015-4
Eleoscytalopus psychopompus,Bahia Tapaculo,Bird,EN,N,2015-4
Eudyptes schlegeli,Royal Penguin,Bird,NT,N,2015-4
Ficedula semitorquata,Semi-collared Flycatcher,Bird,LC,N,2015-4
Forpus cyanopygius,Mexican Parrotlet,Bird,NT,N,2015-4
Fratercula arctica,Atlantic Puffin,Bird,VU,G,2015-4
Glaucidium sanchezi,Tamaulipas Pygmy-owl,Bird,NT,N,2015-4
Gyps africanus,White-backed Vulture,Bird,CR,G,2015-4
Gyps coprotheres,Cape Vulture,Bird,EN,G,2015-4
Gyps rueppelli,Rüppell's Vulture,Bird,CR,G,2015-4
Haematopus ostralegus,Eurasian Oystercatcher,Bird,NT,N,2015-4
Larus armenicus,Armenian Gull,Bird,NT,N,2015-4
Larus audouinii,Audouin's Gull,Bird,LC,G,2015-4
Lathamus discolor,Swift Parrot,Bird,CR,G,2015-4
Lichmera notabilis,Black-chested honeyeater,Bird,LC,N,2015-4
Limosa lapponica,Bar-tailed Godwit,Bird,NT,G,2015-4
Lipaugus weberi,Chestnut-capped Piha,Bird,CR,N,2015-4
Mayrornis versicolor,Ogea Monarch,Bird,NT,N,2015-4
Melanitta fusca,Velvet Scoter,Bird,VU,G,2015-4
Myzomela kuehni,Crimson-hooded Myzomela,Bird,LC,N,2015-4
Necrosyrtes monachus,Hooded Vulture,Bird,CR,G,2015-4
Numenius madagascariensis,Far Eastern Curlew,Bird,EN,G,2015-4
Parotia wahnesi,Wahne's Parotia,Bird,NT,N,2015-4
Picus sharpei,Iberian Green Woodpecker,Bird,NT,N,2015-4
Podiceps auritus,Horned Grebe,Bird,VU,N,2015-4
Poliocephalus rufopectus,New Zealand Grebe,Bird,NT,N,2015-4
Pterodroma axillaris,Chatham Petrel,Bird,VU,G,2015-4
Ptilinopus huttoni,Rapa Fruit-dove,Bird,EN,N,2015-4
Ptychoramphus aleuticus,Cassins' Auklet,Bird,NT,N,2015-4
Rhinoplax vigil,Helmeted Hornbill,Bird,CR,G,2015-4
Robsonius sorsogonensis,Grey-banded Babbler,Bird,NT,N,2015-4
Sitta krueperi,Krueper's Nuthatch,Bird,LC,N,2015-4
Somateria mollissima,Common Eider,Bird,NT,N,2015-4
Sphecotheres hypoleucus,Wetar Figbird,Bird,LC,N,2015-4
Streptopelia turtur,European Turtle-dove,Bird,VU,N,2015-4
Thalurania watertonii,Long-tailed Woodnymph,Bird,EN,N,2015-4
Torgos tracheliotos,Lappet-faced Vulture,Bird,EN,G,2015-4
Trigonoceps occipitalis,White-headed Vulture,Bird,CR,G,2015-4
Turdus iliacus,Redwing,Bird,NT,N,2015-4
Tyto nigrobrunnea,Taliabu Masked-owl,Bird,VU,N,2015-4
Vanellus vanellus,Northern Lapwing,Bird,NT,N,2015-4
Xenopipo flavicapilla,Yellow-headed Manakin,Bird,VU,N,2015-4
Amapasaurus tetradactylus,Four-toed Ampasaurus,Reptile,LC,N,2015-2
Caretta caretta,Loggerhead Turtle,Reptile,VU,N,2015-4
Emoia oribata,,Reptile,LC,N,2015-4
Erythrolamprus mertensi,Mertens' Tropical Forest Snake,Reptile,LC,N,2015-4
Micrurus multiscutatus,Cauca Coral Snake,Reptile,NT,N,2015-4
Psammobates geometricus,Geometric Tortoise,Reptile,CR,G,2015-4
Sphaerodactylus scapularis,Boulenger's Least Gecko,Reptile,EN,N,2015-4
Afrixalus orophilus,Kivu Banana Frog,Amphibian,LC,N,2015-2
Alsodes tumultuosus,La Parva Spiny-chest Frog,Amphibian,VU,N,2015-4
Ambystoma lermaense,Lake Lerma Salamander,Amphibian,EN,N,2015-4
Amietia wittei,Molo Frog,Amphibian,LC,N,2015-2
Amietophrynus brauni,Dead-leaf Toad,Amphibian,LC,N,2015-2
Amietophrynus taiensis,Tai Toad,Amphibian,EN,N,2015-2
Anaxyrus boreas,Western Toad,Amphibian,LC,N,2015-4
Anodonthyla jeanbai,,Amphibian,EN,N,2015-4
Arthroleptis crusculum,Guinea Screeching Forg,Amphibian,NT,N,2015-2
Arthroleptis krokosua,Krokosua Squeaking Frog,Amphibian,NT,N,2015-2
Arthroleptis reichei,Poroto Screeching Frog,Amphibian,LC,N,2015-2
Arthroleptis tanneri,Tanzania Screecing Frog,Amphibian,EN,N,2015-2
Arthroleptis xenodactylus,Amani Screeching Frog,Amphibian,EN,N,2015-2
Atelopus simulatus,,Amphibian,CR(PE),N,2015-2
Bolitoglossa zapoteca,Zapotect Salamander,Amphibian,CR,N,2015-4
Boophis boehmei,Böhme's Bright-eyed Frog,Amphibian,EN,N,2015-4
Boophis brachychir,Nosy Be Bright-eyed Frog,Amphibian,VU,N,2015-4
Boophis elenae,,Amphibian,NT,N,2015-4
Boophis occidentalis,,Amphibian,LC,N,2015-4
Boophis rhodoscelis,Betsileo Bright-eyed Frog,Amphibian,EN,N,2015-4
Boophis tampoka,,Amphibian,LC,N,2015-4
Cardioglossa melanogaster,Amiet's Long-fingered Frog,Amphibian,VU,N,2015-2
Chrysobatrachus cupreonitens,Itombwe Golden Frog,Amphibian,EN,N,2015-2
Hyperolius castaneus,Ahl's Reed Frog,Amphibian,LC,N,2015-2
Hyperolius chrysogaster,Goldbelly Reed Frog,Amphibian,NT,N,2015-2
Hyperolius frontalis,Bushoho Reed Frog,Amphibian,LC,N,2015-2
Hyperolius tanneri,Tanner's Reed Frog,Amphibian,CR,N,2015-2
Leiopelma hamiltoni,Hamilton's Frog,Amphibian,VU,G,2015-4
Leiopelma hochstetteri,Hochstetter's New Zealand Frog,Amphibian,LC,N,2015-4
Mertensophryne nyikae,Nyika Dwarf Toad,Amphibian,NT,N,2015-2
Nectophrynoides laticeps,,Amphibian,CR,N,2015-2
Nectophrynoides poyntoni,Poynton's Forest Toad,Amphibian,CR(PE),N,2015-2
Nectophrynoides pseudotornieri,Pseudo Forest Toad,Amphibian,CR,N,2015-2
Nyctimystes tyleri,,Amphibian,DD,N,2015-4
Phlyctimantis keithae,Keith's Striped Frog,Amphibian,EN,N,2015-2
Ptychadena christyi,Christy's Grassland Frog,Amphibian,LC,N,2015-2
Raorchestes travancoricus,,Amphibian,EN,N,2015-2
Rhinella arunco,Concepcion Toad,Amphibian,NT,N,2015-4
Rhinella atacamensis,Atacama Toad,Amphibian,VU,G,2015-4
Telmatobius dankoi,,Amphibian,CR,N,2015-4
Telmatobius philippii,,Amphibian,CR,N,2015-4
Telmatobius pefauri,Arico Water Frog,Amphibian,CR(PE),N,2015-4
Telmatobius vilamensis,,Amphibian,CR,N,2015-4
Telmatobius zapahuirensis,Zapahuira Water Frog,Amphibian,EN,N,2015-4
Coryphopterus hyalinus,Glass Goby,Fish,VU,G,2015-2
Acanthemblemaria harpeza,Thornbush Blenny,Fish,DD,N,2015-4
Acanthemblemaria paula,Dwarf Spinyhead Blenny,Fish,DD,N,2015-4
Anchoa choerostoma,Bermuda Anchovy,Fish,EN,N,2015-4
Anisotremus moricandi,Brownstriped Grunt,Fish,LC,N,2015-4
Apristurus albisoma,White-bodied Catshark,Fish,LC,N,2015-4
Apristurus ampliceps,Roughskin Catshark,Fish,LC,N,2015-4
Apristurus aphyodes,White Ghost Catshark,Fish,LC,N,2015-1
Apristurus longicephalus,Longhead Catshark,Fish,LC,N,2015-4
Apristurus pinguis,Bulldog Catshark,Fish,LC,N,2015-4
Apristurus platyrhynchus,Flatnose Catshark,Fish,LC,N,2015-4
Asymbolus analis,Grey Spotted Catshark,Fish,LC,N,2015-4
Balistes vetula,Queen Triggerfish,Fish,NT,N,2015-4
Bathygobius burtoni,,Fish,EN,N,2015-4
Batrachoides manglae,Cotuero Toadfish,Fish,LC,N,2015-4
Caulolatilus cyanops,Blackline Tilefish,Fish,LC,N,2015-4
Centrophorus westraliensis,Western Gulper Shark,Fish,DD,N,2015-4
Chimaera lignaria,Giant Chimaera,Fish,LC,N,2015-4
Chimaera obscura,Shortspine Chimaera,Fish,DD,N,2015-4
Choranthias salmopunctatus,,Fish,LC,N,2015-4
Chromis sanctaehelenae,St. Helena Chromis,Fish,LC,N,2015-4
Coelorinchus caelorhincus,Hollowsnout Grenadier,Fish,LC,N,2015-4
Dasyatis thetidis,Black Stingray,Fish,LC,N,2015-4
Decodon puellaris,Red Hogfish,Fish,LC,N,2015-4
Dipturus healdi,Heald's Skate,Fish,LC,N,2015-4
Emblemaria diphyodontis,Venezuelan Blenny,Fish,LC,N,2015-4
Emblemariopsis carib,Caribbean Flagfin Blenny,Fish,LC,N,2015-4
Emblemariopsis tayrona,Tayrona Blenny,Fish,LC,N,2015-4
Enneanectes deloachorum,Two-bar Triplefin,Fish,LC,N,2015-4
Enneanectes matador,Matador Triplefin,Fish,LC,N,2015-4
Ethadophis akkistikos,Indifferent Eel,Fish,LC,N,2015-2
Etmopterus molleri,Slendertail Lanternshark,Fish,DD,N,2015-4
Eucrossorhinus dasypogon,Tasselled Wobbegong,Fish,LC,N,2015-4
Fundulus persimilis,Yucatan Killifish,Fish,EN,N,2015-4
Garra barreimiae,Oman Garra,Fish,LC,N,2015-2
Garra dunsirei,Tawi Atair Garra,Fish,EN,N,2015-2
Garra longipinnis,,Fish,DD,N,2015-2
Haemulon striatum,Striped Grunt,Fish,LC,N,2015-4
Halichoeres burekae,Mardis Gras Wrasse,Fish,EN,N,2015-4
Halichoeres leptotaenia,Thinstripe Wrasse,Fish,LC,N,2015-4
Halichoeres socialis,Social Wrasse,Fish,EN,N,2015-4
Harriotta haeckeli,Smallspine Spookfish,Fish,LC,N,2015-4
Himantura dalyensis,Freshwater Whipray,Fish,LC,N,2015-4
Hydrolagus homonycteris,Black Ghostshark,Fish,LC,N,2015-4
Hydrolagus lusitanicus,,Fish,LC,N,2015-1
Hydrolagus marmoratus,Marbled Ghostshark,Fish,LC,N,2015-4
Hydrolagus trolli,Abyssal Ghostshark,Fish,LC,N,2015-4
Hypoplectrus providencianus,Masked Hamlet,Fish,LC,N,2015-2
Irolita westraliensis,Western Round Skate,Fish,DD,N,2015-4
Jenkinsia parvula,Venezuelan Herring,Fish,DD,N,2015-4
Labeo seeberi,Clanwilliam Sandfish,Fish,CR,N,2015-2
Leucoraja circularis,Sandy Skate,Fish,EN,N,2015-1
Leucoraja fullonica,Sahagreen Skate,Fish,VU,N,2015-1
Lipogramma robinsi,Yellowbar Basslet,Fish,DD,N,2015-2
Lucifuga simile,Blind Cave Brotula,Fish,CR,N,2015-4
Megachasma pelagios,Megamouth Shark,Fish,LC,N,2015-4
Menidia conchorum,Key Silverside,Fish,EN,N,2015-4
Myxodagnus belone,Dartfish,Fish,DD,N,2015-4
Neoraja caerulea,Blue Pygmy Skate,Fish,LC,N,2015-1
Orectolobus floridus,Floral Bandad Wobbegong,Fish,LC,N,2015-4
Orectolobus halei,Banded Wobbegong,Fish,LC,N,2015-4
Orectolobus hutchinsi,Western Wobbegong,Fish,LC,N,2015-4
Orectolobus maculatus,Spotted Wobbegong,Fish,LC,N,2015-4
Orectolobus ornatus,Ornate Wobbegong,Fish,LC,N,2015-4
Orectolobus parvimaculatus,Dwarf Spotted Wobbegong,Fish,LC,N,2015-4
Paralichthys lethostigma,Southern Flounder,Fish,NT,N,2015-4
Parasaccogaster melanomycter,Black-nosed Brotula,Fish,DD,N,2015-4
Parmaturus xaniurus,Filetail Catshark,Fish,LC,N,2015-4
Pavoraja nitida,Peacock Skate,Fish,LC,N,2015-4
Physiculus helenaensis,Skulpin,Fish,DD,N,2015-4
Pontinus nigropunctatus,Deepwater Jack,Fish,LC,N,2015-4
Protemblemaria punctata,Warthead Blenny,Fish,LC,N,2015-4
Pseudophoxinus libani,Levantine Minnow,Fish,LC,N,2015-2
Pseudotriakis microdon,False Catshark,Fish,LC,N,2015-4
Raja asterias,Starry Skate,Fish,NT,N,2015-1
Raja maderensis,Madeira Skate,Fish,VU,N,2015-1
Raja polystigma,Speckled Skate,Fish,LC,N,2015-1
Raja radula,Rough Ray,Fish,EN,N,2015-1
Rajella kukujevi,Mid-Atlantic Skate,Fish,LC,N,2015-1
Sanopus reticulatus,Reticulated Toadfish,Fish,EN,N,2015-4
Sanopus splendidus,Splendid Toadfish,Fish,EN,N,2015-4
Sciades parkeri,Gillbacker Sea Catfish,Fish,VU,N,2015-2
Sinobatis bulbicauda,Western Legskate,Fish,LC,N,2015-4
Sphoeroides yergeri,Speckled Puffer,Fish,LC,N,2015-4
Starksia leucovitta,Whitesaddle Blenny,Fish,DD,N,2015-4
Starksia rava,Tawny Blenny,Fish,LC,N,2015-4
Starksia springeri,Springer's Blenny,Fish,DD,N,2015-4
Starksia williamsi,William's Blenny,Fish,LC,N,2015-4
Stegastes sanctaehelenae,,Fish,LC,N,2015-4
Stegastes sanctipauli,Saint Paul's Gregory,Fish,LC,N,2015-4
Cochlostoma dalmatinum,,Mollusc,NT,E,2015-1
Graecoanatolica tenuis,,Mollusc,EN,N,2015-4
Papustyla pulcherrima,Manus Green Tree Snail,Mollusc,NT,N,2015-2
Balanophyllia europaea,Tooth Coral,Coral,LC,N,2015-2
Cladocora caespitosa,Mediterranean Pillow Coral,Coral,EN,N,2015-2
Euastacus clarkae,Ellen Clark's Crayfish,Crustacean,EN,N,2015-4
Phalangacris alluaudi,Mahé Boulder Cricket,Cricket,CR,N,2015-4
Euchloe bazae,Spanish Greenish Black-tip,Lepidoptera,LC,N,2015-2
Hipparchia christenseni,Karpathos Grayling,Lepidoptera,EN,N,2015-2
Hipparchia sbordonii,Ponza Grayling,Lepidoptera,EN,N,2015-2
Maniola chia,Chios Meadow Brown,Lepidoptera,NT,G,2015-2
Polyommatus violetae,Andalusian Anomalous Blue,Lepidoptera,LC,N,2015-2
Pseudochazara amymone,,Lepidoptera,EN,G,2015-2
Pseudophilotes barbagiae,Sardinian Blue,Lepidoptera,DD,N,2015-2
Betula klokovii,,Tree,CR,N,2015-4
Cylicomorpha solmsii,,Tree,NT,N,2015-4
Dactyladenia cinerea,,Tree,EN,N,2015-4
Dactyladenia mannii,,Tree,EN,N,2015-4
Magnistipula cuneatifolia,,Tree,EN,N,2015-4
Magnolia aromatica,,Tree,EN,N,2015-2
Magnolia gustavii,,Tree,CR,N,2015-2
Magnolia lotungensis,,Tree,EN,G,2015-2
Magnolia odora,Tsong's Tree,Tree,VU,G,2015-2
Magnolia officinalis,,Tree,EN,N,2015-4
Magnolia punduana,,Tree,DD,N,2015-2
Magnolia wilsonii,,Tree,NT,N,2015-2
Metroxylon amicarum,Caroline Ivory Nut,Tree,NT,N,2015-2
Podonephelium subaequilaterum,,Tree,CR,N,2015-4
Quercus buckleyi,Buckley Oak,Tree,LC,N,2015-4
Quercus convallata,,Tree,LC,N,2015-4
Baphia obanensis,,Legume,EN,N,2015-4
Crotalaria bamendae,,Legume,LC,N,2015-4
Dalbergia oligophylla,,Legume,LC,N,2015-4
Millettia conraui,,Legume,EN,N,2015-4
Millettia macrophylla,,Legume,NT,N,2015-4
Ormocarpum klainei,,Legume,EN,N,2015-4
Paphiopedilum tigrinum,Tiger Striped Paphiopedilum,Orchid,EN,N,2015-2
Amphiblemma amoenum,,Flowering Plants,VU,N,2015-4
Begonia pelargoniiflora,,Flowering Plants,EN,N,2015-2
Begonia pseudoviola,,Flowering Plants,EN,N,2015-2
Begonia schaeferi,,Flowering Plants,NT,N,2015-4
Camellia grijsii,,Flowering Plants,DD,N,2015-4
Camellia hengchunensis,,Flowering Plants,NT,N,2015-4
Commiphora wightii,,Flowering Plants,CR,N,2015-2
Costus zamoranus,,Flowering Plants,EN,N,2015-4
Dielsantha galeopsoides,,Flowering Plants,NT,N,2015-4
Drymaria monticola,,Flowering Plants,CR,N,2015-2
Lobelia columnaris,,Flowering Plants,VU,N,2015-4
Myristica dactyloides,,Flowering Plants,VU,N,2015-2
Salacia fimbrisepala,,Flowering Plants,DD,N,2015-4
Salacia mamba,,Flowering Plants,NT,N,2015-4
Scalesia gordilloi,,Flowering Plants,CR,N,2015-2
Shorea tumbuggaia,,Flowering Plants,EN,N,2015-2
Silene biafrae,,Flowering Plants,NT,N,2015-4
Warneckea wildeana,,Flowering Plants,EN,N,2015-4
Abrocoma shistacea,Sierra Del Tontal Chinchilla Rat,Mammal,LC,N,2016
Abrothrix illutea,Gray Akodont,Mammal,LC,N,2016
Acerodon celebensis,Sulawesi Fruit Bat,Mammal,VU,N,2016
Aeromys thomasi,Thomas's Flying Squirrel,Mammal,LC,N,2016
Ailuropoda melanoleuca,Giant Panda,Mammal,VU,G,2016
Alticola olchonensis Olkhon,Mountain Vole,Mammal,EN,N,2016
Anoura cultrata,Handley's Tailless Bat,Mammal,LC,N,2016
Antechinus bellus,Fawn Antechinus,Mammal,VU,G,2016
Apodemus gurkha,Nepalese Field Mouse,Mammal,LC,N,2016
Apomys abrae,Luzon Cordillera Apomys,Mammal,LC,N,2016
Apomys gracilirostris,Large Mondoro Apomys,Mammal,LC,N,2016
Apomys sacobianus,Long-nosed Luzon Apomys,Mammal,LC,N,2016
Arctonyx collaris,Greater Hog Badger,Mammal,VU,N,2016
Arielulus cuprosus,Coppery Sprite,Mammal,VU,N,2016
Brachytarsomys villosa,Hairy-tailed Tree Rat,Mammal,VU,N,2016
Callosciurus adamsi,Ear-spot Squirrel,Mammal,NT,N,2016
Cephalophus dorsalis,Bay Duiker,Mammal,NT,G,2016
Cephalophus leucogaster,White-bellied Duiker,Mammal,NT,G,2016
Cephalophus silvicultor,Yellow-backed Duiker,Mammal,NT,G,2016
Cercocebus atys,Sooty Mangabey,Mammal,NT,N,2016
Chacodelphys formosa,,Mammal,NT,N,2016
Chinchilla chinchilla,Short-tailed Chinchilla,Mammal,EN,N,2016
Chinchilla lanigera,Long-tailed Chinchilla,Mammal,EN,N,2016
Chiroderma improvisum,Guadeloupean Big-eared Bat,Mammal,EN,N,2016
Chiropodomys karlkoopmani,Koopman's Pencil-tailed Tree Mouse,Mammal,VU,N,2016
Chrotogale owstoni,Owston's Civet,Mammal,EN,N,2016
Conilurus penicillatus,Brush-tailed Rabbit-rat,Mammal,VU,G,2016
Crocidura baileyi,Bailey's Shrew,Mammal,LC,N,2016
Crocidura baluensis,Kinabalu Shrew,Mammal,LC,N,2016
Crocidura douceti,Doucet's Musk Shrew,Mammal,LC,N,2016
Crocidura fumosa,Smoky White-toothed Shrew,Mammal,LC,N,2016
Crocidura glassi,Glass's Shrew,Mammal,NT,N,2016
Crocidura kivuana,Kivu Shrew,Mammal,NT,N,2016
Crocidura lanosa,Lemara Shrew,Mammal,VU,N,2016
Crocidura macmillani,Macmillan's Shrew,Mammal,NT,N,2016
Crocidura orientalis,Oriental Shrew,Mammal,LC,N,2016
Crocidura telfordi,Telford's Shrew,Mammal,VU,N,2016
Crocidura virgata,,Mammal,LC,N,2016
Cryptotis obscura,Grizzled Mexican Small-eared Shrew,Mammal,LC,N,2016
Cuscomys oblativa,Machu Picchu Arboreal Chinchilla Rat,Mammal,DD,N,2016
Dasycercus cristicauda,Crest-tailed Mulgara,Mammal,NT,N,2016
Dasyurus viverrinus, Eastern Quoll,Mammal,EN,G,2016
Dendrolagus lumholtzi,Lumholtz's Tree Kangaroo,Mammal,NT,N,2016
Dendrolagus spadix,Lowlands Tree Kangaroo,Mammal,VU,G,2016
Dendromus oreas,Cameroon Climbing Mouse,Mammal,LC,N,2016
Desmana moschata,Russian Desman,Mammal,EN,G,2016
Desmomys yaldeni,Yalden's Desmomys,Mammal,VU,N,2016
Eliurus danieli,Daniel's Tuft-tailed Rat,Mammal,LC,N,2016
Eliurus petteri,Petter's Tuft-tailed Rat,Mammal,EN,N,2016
Eptesicus diminutus,Diminutive Serotine,Mammal,LC,N,2016
Eptesicus guadeloupensis,Guadeloupe Big Brown Bat,Mammal,EN,N,2016
Equus quagga,Plains Zebra,Mammal,NT,G,2016
Eudiscopus denticulus,Disk-footed Bat,Mammal,LC,N,2016
,Florida Bonneted Bat,Mammal,VU,N,2016-1
Eupleres goudotii,Eastern Falanouc,Mammal,VU,G,2016-1
Felis margarita,Sand Cat,Mammal,LC,N,2016-2
Galidictis fasciata,Broad-striped Vontsira,Mammal,VU,G,2016-1
Gazella cuvieri,Cuvier's Gazelle,Mammal,VU,N,2016-2
Genetta abyssinica,Ethiopian Genet,Mammal,DD,N,2016-1
Genetta johnstoni,Johnston's Genet,Mammal,NT,N,2016-1
Giraffa camelopardalis,Giraffe,Mammal,VU,G,2016-3
Gorilla beringei,Eastern Gorilla,Mammal,CR,G,2016-2
Gracilinanus dryas,Wood Sprite Gracile Mouse Opossum,Mammal,LC,N,2016-1
Gymnobelideus leadbeateri,Leadbeater's Possum,Mammal,CR,G,2016-1
Herpestes brachyurus,Short-tailed Mongoose,Mammal,NT,N,2016-1
Hipposideros coxi,Cox's Leaf-nosed Bat,Mammal,EN,N,2016-2
Hipposideros durgadasi,Durga Das's Leaf-nosed Bat,Mammal,VU,N,2016-2
Hipposideros grandis,Grand Leaf-nosed Bat,Mammal,LC,N,2016-3
Hipposideros halophyllus,Thailand Leaf-nosed Bat,Mammal,VU,N,2016-2
Hipposideros hypophyllus,Kolar Leaf-nosed Bat,Mammal,CR,G,2016-2
Hipposideros orbiculus,Orbiculus Leaf-nosed Bat,Mammal,VU,N,2016-2
Histriophoca fasciata,Ribbon Seal,Mammal,LC,N,2016-1
Lagostrophus fasciatus,Banded Hare Wallaby,Mammal,VU,N,2016-1
Laonastes aenigmamus,Kha-nyou,Mammal,LC,N,2016-2
Lasiorhinus latifrons,Southern Hairy-nosed Wombat,Mammal,NT,N,2016-1
Leopoldamys neilli,Neill's Leopoldamys,Mammal,LC,N,2016-1
Leopoldamys siporanus,Mentawai Archipelago Leopoldamys,Mammal,VU,N,2016-2
Leporillus apicalis,Lesser Stick-nest Rat,Mammal,EX,N,2016-1
Leporillus conditor,Greater Stick-nest Rat,Mammal,NT,G,2016-2
Leptonycteris yerbabuenae,Lesser Long-nosed Bat,Mammal,NT,N,2016-1
Lepus hainanus,Hainan Hare,Mammal,EN,N,2016-3
Lonchophylla bokermanni,Bokermann's Nectar Bat,Mammal,EN,N,2016-3
Lonchophylla concava,,Mammal,LC,N,2016-2
