Name,Mammals,Birds,Reptiles,Amphibians,Fishes,Molluscs,Other Inverts,Plants,Fungi,Chromists,Total
British Indian Ocean Territory,0,1,2,0,25,0,70,0.0,0,0,196.0
Brunei Darussalam,38,40,10,2,61,0,18,190.0,0,0,718.0
Cambodia,45,32,23,8,94,1,81,55.0,0,0,678.0
Disputed Territory,0,0,0,0,20,0,1,0.0,0,0,42.0
India,99,91,106,83,292,7,135,539.0,3,0,1355.0
Indonesia,213,161,77,30,369,42,341,,2,0,1235.0
Lao People's Democratic Republic,49,30,35,10,56,16,7,88.0,1,0,584.0
Malaysia,81,68,60,39,182,45,280,,4,0,759.0
Maldives,2,0,3,0,41,0,45,0.0,0,0,182.0
Myanmar,54,58,38,5,99,3,75,113.0,0,0,890.0
Nepal,30,38,17,4,11,1,2,26.0,2,0,262.0
Philippines,43,91,37,27,145,3,347,930.0,1,0,1624.0
Singapore,18,24,8,0,69,1,176,69.0,0,0,730.0
Sri Lanka,30,14,113,71,137,0,153,302.0,0,0,1640.0
Thailand,65,67,42,12,154,16,198,247.0,1,0,1604.0
Timor-Leste,6,7,3,0,35,0,1,7.0,0,0,118.0
Viet Nam,64,51,75,75,142,30,161,335.0,0,0,1866.0
Angola,24,33,10,0,82,7,4,69.0,0,0,458.0
Benin,16,14,8,1,73,3,1,17.0,2,0,270.0
Botswana,11,18,1,0,2,0,0,3.0,0,0,70.0
Burkina Faso,12,15,4,0,3,0,0,6.0,0,0,80.0
Burundi,16,18,1,1,17,3,3,159.0,0,0,436.0
Cabo Verde,4,6,6,0,47,14,1,51.0,0,0,258.0
Cameroon,49,30,24,60,148,14,14,911.0,0,0,1250.0
Central African Republic,20,18,7,0,3,2,0,51.0,0,0,202.0
Chad,16,19,5,0,1,6,0,8.0,0,0,110.0
Comoros,6,13,9,0,24,0,81,16.0,0,0,298.0
Congo,18,6,8,1,83,7,0,112.0,0,0,470.0
"Congo, The Democratic Republic of the",48,40,18,13,128,45,9,445.0,0,0,1492.0
Côte d'Ivoire,34,26,9,7,89,8,2,158.0,0,0,666.0
Djibouti,11,15,1,0,41,1,56,4.0,0,0,258.0
Equatorial Guinea,24,3,8,6,82,2,2,170.0,0,0,594.0
Eritrea,16,22,7,0,51,1,57,7.0,0,0,322.0
Eswatini,9,15,1,0,5,0,3,14.0,0,0,94.0
Ethiopia,40,35,4,12,16,4,11,115.0,0,0,474.0
Gabon,18,5,8,5,97,2,2,473.0,0,0,1220.0
Gambia,10,19,6,0,80,3,0,6.0,0,0,248.0
Ghana,23,25,9,9,87,9,3,127.0,0,0,584.0
Guinea,34,22,10,7,117,6,5,221.0,0,0,844.0
Guinea-Bissau,15,15,9,0,71,3,0,12.0,0,0,250.0
Kenya,32,45,16,15,88,20,79,402.0,0,0,1394.0
Lesotho,4,9,0,0,1,0,1,5.0,0,0,40.0
Liberia,27,14,9,2,93,5,7,137.0,0,0,588.0
Madagascar,133,37,139,145,112,35,248,,1,0,850.0
Malawi,10,20,4,5,37,7,8,61.0,0,0,304.0
Mali,14,19,4,0,1,5,0,29.0,0,0,144.0
Mauritania,18,24,6,0,78,3,1,1.0,0,0,262.0
Mauritius,7,12,15,0,29,33,93,103.0,0,0,584.0
Mayotte,2,3,7,1,22,0,77,14.0,0,0,252.0
Mozambique,19,32,15,7,105,0,67,300.0,0,0,1090.0
Namibia,15,33,5,0,47,2,2,49.0,0,0,306.0
Niger,14,16,4,0,3,2,0,4.0,0,0,86.0
Nigeria,36,22,15,13,102,5,10,258.0,0,0,922.0
Réunion,4,7,2,0,32,17,73,23.0,0,0,316.0
Rwanda,24,20,4,2,7,0,4,134.0,0,0,390.0
"Saint Helena, Ascension and Tristan da Cunha",3,21,2,0,20,1,96,45.0,1,0,378.0
Sao Tome and Principe,4,12,6,3,38,4,2,72.0,0,0,282.0
Senegal,21,23,9,0,89,15,1,23.0,0,0,362.0
Seychelles,7,13,12,6,40,37,285,61.0,0,0,922.0
Sierra Leone,26,17,10,1,87,7,5,142.0,0,0,590.0
Somalia,18,20,5,0,59,2,60,68.0,0,0,464.0
South Africa,33,54,25,16,153,23,173,428.0,0,0,1810.0
South Sudan,18,23,5,0,0,0,1,21.0,0,0,136.0
Sudan,19,27,6,0,53,0,50,17.0,0,0,344.0
"Tanzania, United Republic of",45,47,41,61,218,11,137,,0,0,560.0
Togo,16,15,9,2,67,4,1,15.0,0,0,258.0
Uganda,32,33,8,2,56,17,17,148.0,0,0,626.0
Zambia,13,22,4,0,26,12,1,59.0,0,0,274.0
Zimbabwe,10,22,4,6,5,0,8,81.0,0,0,272.0
Afghanistan,12,15,3,1,11,0,2,11.0,0,0,110.0
Armenia,7,14,7,0,4,2,6,76.0,0,0,232.0
Azerbaijan,7,17,8,1,14,2,5,47.0,1,0,204.0
Bahrain,3,8,4,0,35,0,13,0.0,0,0,126.0
Cyprus,7,8,5,1,39,7,16,23.0,2,0,216.0
Georgia,8,15,6,1,13,4,10,70.0,5,0,264.0
"Iran, Islamic Republic of",18,28,15,4,85,2,21,18.0,0,0,382.0
Iraq,13,17,3,1,44,1,15,4.0,0,0,196.0
Israel,16,18,11,1,84,12,64,40.0,1,0,494.0
Jordan,13,15,6,0,28,6,55,8.0,0,0,262.0
Kazakhstan,17,27,1,1,24,2,5,21.0,1,0,198.0
Kuwait,7,11,4,0,37,0,13,0.0,0,0,144.0
Kyrgyzstan,5,15,3,0,12,0,3,23.0,0,0,122.0
Lebanon,10,11,8,0,43,11,9,101.0,0,0,386.0
Oman,9,13,8,0,76,3,29,9.0,0,0,294.0
Pakistan,24,32,17,1,119,0,18,22.0,0,0,466.0
"Palestine, State of",5,15,4,0,16,2,2,11.0,0,0,110.0
Qatar,4,10,3,0,41,0,13,0.0,0,0,142.0
Saudi Arabia,11,19,3,0,73,1,59,5.0,0,0,342.0
Syrian Arab Republic,15,17,9,0,64,11,13,45.0,0,0,348.0
Tajikistan,7,14,7,0,7,0,3,20.0,1,0,118.0
Turkey,18,21,20,10,148,47,43,136.0,8,0,902.0
Turkmenistan,9,18,6,0,14,1,6,6.0,0,0,120.0
United Arab Emirates,8,13,5,0,53,0,15,0.0,0,0,188.0
Uzbekistan,10,18,9,0,9,1,2,27.0,0,0,152.0
Yemen,12,17,7,0,68,2,66,165.0,0,0,674.0
